-0.000,97.000,0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,90.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,-0.000,0.000,270.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000
107.226,98.420,-77.532,357.171,355.146,2.673,359.486,4.947,0.097,359.486,4.947,0.097,345.406,354.792,4.901,19.926,15.872,275.300,321.470,352.887,358.687,335.333,357.170,90.940,339.569,1.911,6.787,339.569,1.911,6.787,356.350,354.262,355.907,345.356,5.360,78.532,27.992,355.498,26.924,12.373,7.707,271.049,343.416,356.575,8.341,337.954,4.863,356.852,346.676,355.274,337.637,15.054,356.957,4.632,19.214,21.153,355.505,16.672,0.927,1.091
107.226,98.420,-77.532,357.171,355.146,2.673,359.486,4.947,0.097,359.486,4.947,0.097,345.406,354.792,4.901,19.926,15.872,275.300,321.470,352.887,358.687,335.333,357.170,90.940,339.569,1.911,6.787,339.569,1.911,6.787,356.350,354.262,355.907,345.356,5.360,78.532,27.992,355.498,26.924,12.373,7.707,271.049,343.416,356.575,8.341,337.954,4.863,356.852,346.676,355.274,337.637,15.054,356.957,4.632,19.214,21.153,355.505,16.672,0.927,1.091
107.837,98.430,-77.170,355.819,355.381,2.567,359.510,4.824,0.076,359.510,4.824,0.076,345.271,354.874,5.042,19.537,16.129,275.020,322.902,352.506,358.511,335.229,357.409,91.198,339.477,1.986,6.917,339.477,1.986,6.917,356.190,354.383,356.185,343.343,5.035,78.272,28.768,356.910,28.265,13.388,6.604,270.659,342.423,357.073,7.917,339.441,4.853,357.424,347.522,355.202,337.902,14.754,356.853,4.542,19.027,21.213,355.248,16.818,0.941,1.238
109.027,98.364,-76.632,353.134,355.831,2.325,359.666,4.561,0.047,359.666,4.561,0.047,344.839,355.031,5.273,18.660,16.668,274.320,325.949,351.956,358.248,335.282,357.930,91.635,339.217,2.151,7.158,339.217,2.151,7.158,355.929,354.652,356.752,342.636,4.576,78.012,30.054,354.805,29.086,12.619,7.541,271.129,343.415,357.266,7.807,339.363,4.812,357.492,349.278,355.036,338.592,12.930,356.814,4.186,17.757,21.338,354.282,19.092,0.590,1.377
111.245,98.488,-76.203,349.153,356.492,2.072,359.216,4.099,359.769,359.216,4.099,359.769,344.134,355.382,5.762,17.662,17.754,273.464,330.433,350.063,357.965,337.110,359.774,91.520,339.564,2.486,7.514,339.564,2.486,7.514,355.463,354.914,358.321,342.814,3.990,77.284,31.367,354.053,30.763,12.844,7.127,271.082,345.229,357.846,7.201,339.488,4.197,357.604,352.314,355.037,340.351,12.437,356.406,3.906,16.799,21.637,353.485,17.635,0.596,2.475
113.087,98.204,-74.704,342.571,357.388,1.880,359.710,3.856,359.371,359.710,3.856,359.371,344.068,355.469,6.255,18.067,18.852,273.330,337.779,352.597,354.999,335.855,0.299,93.574,339.041,2.442,8.355,339.041,2.442,8.355,355.658,355.084,359.396,339.842,3.076,77.443,33.811,352.410,33.574,12.955,6.897,271.256,349.516,359.395,5.689,341.466,2.713,359.327,353.433,354.892,342.314,12.919,355.407,3.511,13.765,23.026,352.121,19.772,359.823,2.742
114.512,98.093,-73.948,338.537,357.622,1.682,359.357,4.080,359.067,359.357,4.080,359.067,343.076,355.615,6.477,19.482,19.760,273.268,342.167,355.265,353.550,336.625,1.948,94.142,339.491,2.185,8.962,339.491,2.185,8.962,354.957,355.068,359.504,341.216,2.695,78.253,35.579,350.917,34.676,13.088,6.806,271.434,352.331,0.440,4.975,340.334,1.326,359.549,356.438,355.255,344.869,10.783,354.589,3.438,15.161,24.667,351.800,18.216,0.195,3.539
115.956,97.986,-72.837,333.734,357.704,1.311,359.668,4.538,358.913,359.668,4.538,358.913,343.340,355.360,6.837,17.180,21.192,272.424,344.033,354.537,353.174,337.281,3.112,94.580,339.101,1.681,9.625,339.101,1.681,9.625,354.925,354.590,359.385,341.502,2.594,78.999,37.382,349.563,35.574,14.344,5.875,270.985,354.737,1.258,3.755,340.273,0.817,0.518,359.212,355.725,346.721,10.323,353.656,3.932,13.467,27.072,350.285,20.026,0.240,3.382
117.101,97.678,-71.415,330.197,357.726,1.218,358.980,5.118,358.512,358.980,5.118,358.512,344.494,354.889,7.372,16.438,22.078,271.844,346.641,357.162,352.420,336.830,2.463,95.840,339.833,1.290,10.184,339.833,1.290,10.184,354.578,354.017,359.354,341.529,2.483,79.858,39.413,347.981,36.704,13.414,6.543,271.703,354.613,1.885,3.116,342.792,0.500,0.872,0.135,355.927,348.000,7.250,351.598,4.356,14.634,30.567,349.504,18.907,2.942,3.430
119.144,96.887,-69.700,325.241,357.568,1.409,358.927,5.698,357.856,358.927,5.698,357.856,343.737,355.190,7.761,15.801,23.344,271.341,347.029,356.340,351.781,338.612,4.689,95.681,339.695,1.079,10.657,339.695,1.079,10.657,355.013,353.712,359.637,340.810,2.460,80.362,41.173,346.856,38.023,14.778,5.555,270.878,353.673,2.645,2.148,344.697,359.990,0.424,3.993,356.486,351.258,5.723,348.796,4.974,9.786,36.066,346.309,21.554,5.680,0.983
